example,domain,task,n,p,n_classes,pca_99,k,family,representation,probe,score,fit_seconds
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:xg,svm,0.7612,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:mi,linear,0.7013,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:mi,knn,0.6625,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:mi,svm,0.745,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:f_test,linear,0.73,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:f_test,knn,0.6625,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:f_test,svm,0.755,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:l1,linear,0.755,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:l1,knn,0.7013,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,select,select:l1,svm,0.7725,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,dr,dr:PCA,linear,0.7612,1.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,dr,dr:PCA,knn,0.6512,1.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,dr,dr:PCA,svm,0.7725,1.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,dr,dr:RandProj,linear,0.7325,0.02
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,dr,dr:RandProj,knn,0.6475,0.02
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,301,dr,dr:RandProj,svm,0.7262,0.02
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:vote,linear,0.66,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:vote,knn,0.6288,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:vote,svm,0.6575,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:rf,linear,0.6663,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:rf,knn,0.6375,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:rf,svm,0.6625,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:xg,linear,0.67,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:xg,knn,0.61,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:xg,svm,0.6562,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:mi,linear,0.595,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:mi,knn,0.595,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:mi,svm,0.6188,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:f_test,linear,0.675,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:f_test,knn,0.6238,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:f_test,svm,0.6687,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:l1,linear,0.675,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:l1,knn,0.6238,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,select,select:l1,svm,0.6687,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:PCA,linear,0.6488,0.06
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:PCA,knn,0.5975,0.06
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:PCA,svm,0.6512,0.06
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:RandProj,linear,0.5975,0.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:RandProj,knn,0.5587,0.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:RandProj,svm,0.5975,0.0
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:ICA,linear,0.6488,0.62
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:ICA,knn,0.5913,0.62
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:ICA,svm,0.65,0.62
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:KernelPCA,linear,0.6438,0.92
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:KernelPCA,knn,0.5787,0.92
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:KernelPCA,svm,0.63,0.92
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:Isomap,linear,0.6088,1.54
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:Isomap,knn,0.57,1.54
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:Isomap,svm,0.615,1.54
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:UMAP,linear,0.6475,22.41
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:UMAP,knn,0.5787,22.41
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:UMAP,svm,0.6438,22.41
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:t-SNE,linear,0.6038,86.09
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:t-SNE,knn,0.5687,86.09
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,10,dr,dr:t-SNE,svm,0.6338,86.09
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:vote,linear,0.5875,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:vote,knn,0.5487,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:vote,svm,0.585,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:rf,linear,0.585,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:rf,knn,0.525,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:rf,svm,0.5737,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:xg,linear,0.5875,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:xg,knn,0.5487,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:xg,svm,0.585,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:mi,linear,0.5375,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:mi,knn,0.5188,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:mi,svm,0.5363,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:f_test,linear,0.5825,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:f_test,knn,0.505,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:f_test,svm,0.5887,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:l1,linear,0.585,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:l1,knn,0.525,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,select,select:l1,svm,0.5737,189.68
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:PCA,linear,0.5625,0.02
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:PCA,knn,0.5012,0.02
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:PCA,svm,0.555,0.02
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:RandProj,linear,0.55,0.01
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:RandProj,knn,0.4825,0.01
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:RandProj,svm,0.5513,0.01
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:ICA,linear,0.5625,0.5
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:ICA,knn,0.5012,0.5
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:ICA,svm,0.555,0.5
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:KernelPCA,linear,0.5575,0.81
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:KernelPCA,knn,0.52,0.81
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:KernelPCA,svm,0.5787,0.81
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:Isomap,linear,0.565,1.69
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:Isomap,knn,0.5262,1.69
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:Isomap,svm,0.5787,1.69
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:UMAP,linear,0.5563,12.86
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:UMAP,knn,0.5162,12.86
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:UMAP,svm,0.5737,12.86
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:t-SNE,linear,0.5587,1.15
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:t-SNE,knn,0.5337,1.15
modernbert_sst2,transformer NLP,classification,4000,1536,2,1206,1,dr,dr:t-SNE,svm,0.5637,1.15
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1536,all,all features,linear,0.8488,0.0
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1536,all,all features,knn,0.8575,0.0
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1536,all,all features,svm,0.8912,0.0
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:vote,linear,0.84,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:vote,knn,0.8675,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:vote,svm,0.8925,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:rf,linear,0.8425,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:rf,knn,0.865,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:rf,svm,0.8925,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:xg,linear,0.8287,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:xg,knn,0.865,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:xg,svm,0.8888,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:mi,linear,0.8475,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:mi,knn,0.865,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:mi,svm,0.885,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:f_test,linear,0.8475,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:f_test,knn,0.8675,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:f_test,svm,0.8875,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:l1,linear,0.8525,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:l1,knn,0.8512,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,select,select:l1,svm,0.885,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,dr,dr:PCA,linear,0.795,2.21
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,dr,dr:PCA,knn,0.2475,2.21
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,dr,dr:PCA,svm,0.6138,2.21
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,dr,dr:RandProj,linear,0.8438,0.03
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,dr,dr:RandProj,knn,0.8413,0.03
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,1153,dr,dr:RandProj,svm,0.895,0.03
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:vote,linear,0.8225,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:vote,knn,0.8662,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:vote,svm,0.885,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:rf,linear,0.82,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:rf,knn,0.8662,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:rf,svm,0.8888,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:xg,linear,0.8137,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:xg,knn,0.8625,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:xg,svm,0.89,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:mi,linear,0.8137,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:mi,knn,0.8612,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:mi,svm,0.89,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:f_test,linear,0.8213,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:f_test,knn,0.8612,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:f_test,svm,0.8888,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:l1,linear,0.8325,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:l1,knn,0.8638,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,select,select:l1,svm,0.89,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,dr,dr:PCA,linear,0.8313,1.42
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,dr,dr:PCA,knn,0.325,1.42
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,dr,dr:PCA,svm,0.8938,1.42
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,dr,dr:RandProj,linear,0.8125,0.02
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,dr,dr:RandProj,knn,0.8363,0.02
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,576,dr,dr:RandProj,svm,0.8875,0.02
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:vote,linear,0.8225,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:vote,knn,0.8788,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:vote,svm,0.8888,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:rf,linear,0.8337,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:rf,knn,0.865,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:rf,svm,0.8925,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:xg,linear,0.8287,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:xg,knn,0.8712,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:xg,svm,0.8812,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:mi,linear,0.8137,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:mi,knn,0.8688,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:mi,svm,0.8862,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:f_test,linear,0.8413,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:f_test,knn,0.8675,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:f_test,svm,0.885,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:l1,linear,0.8175,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:l1,knn,0.8788,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,select,select:l1,svm,0.8888,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,dr,dr:PCA,linear,0.84,1.2
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,dr,dr:PCA,knn,0.7087,1.2
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,dr,dr:PCA,svm,0.9012,1.2
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,dr,dr:RandProj,linear,0.8075,0.01
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,dr,dr:RandProj,knn,0.8213,0.01
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,288,dr,dr:RandProj,svm,0.8738,0.01
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:vote,linear,0.7188,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:vote,knn,0.7063,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:vote,svm,0.7225,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:rf,linear,0.7137,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:rf,knn,0.7137,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:rf,svm,0.745,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:xg,linear,0.7488,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:xg,knn,0.7238,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:xg,svm,0.7475,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:mi,linear,0.6987,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:mi,knn,0.7013,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:mi,svm,0.7175,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:f_test,linear,0.7013,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:f_test,knn,0.6987,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:f_test,svm,0.7238,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:l1,linear,0.7325,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:l1,knn,0.7063,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,select,select:l1,svm,0.7288,1699.61
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:PCA,linear,0.845,0.03
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:PCA,knn,0.8237,0.03
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:PCA,svm,0.85,0.03
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:RandProj,linear,0.575,0.01
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:RandProj,knn,0.5425,0.01
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:RandProj,svm,0.5663,0.01
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:ICA,linear,0.845,0.51
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:ICA,knn,0.8213,0.51
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:ICA,svm,0.85,0.51
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:KernelPCA,linear,0.835,0.89
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:KernelPCA,knn,0.8237,0.89
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:KernelPCA,svm,0.8475,0.89
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:Isomap,linear,0.8037,1.56
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:Isomap,knn,0.8063,1.56
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:Isomap,svm,0.83,1.56
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:UMAP,linear,0.83,13.69
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:UMAP,knn,0.8438,13.69
modernbert_agnews,transformer NLP,classification,4000,1536,4,1153,10,dr,dr:UMAP,svm,0.84,13.69
